Museum,Year,VisitorCount,VisitorType
British Museum,2008/09,3228234,Overseas
Museum of the Home,2008/09,9000,Overseas
Horniman Museum,2008/09,9092,Overseas
Imperial War Museums,2008/09,634702,Overseas
Museum of Science and Industry in Manchester,2008/09,745188,Overseas
National Gallery,2008/09,1553600,Overseas
National Museums Liverpool,2008/09,295888,Overseas
National Portrait Gallery,2008/09,678878,Overseas
Natural History Museum,2008/09,1264959,Overseas
Royal Armouries,2008/09,101089,Overseas
Royal Museums Greenwich,2008/09,1060012,Overseas
Science Museum Group,2008/09,98129501,Overseas
Sir John Soane's Museum,2008/09,24112,Overseas
Tate Gallery Group,2008/09,2941000,Overseas
Tyne and Wear Museums,2008/09,659415855996,Overseas
Victoria and Albert Museum,2008/09,817800,Overseas
Wallace Collection,2008/09,140074,Overseas
Total,2008/09,13880000,Overseas
British Museum,2009/10,3543265,Overseas
Museum of the Home,2009/10,10874,Overseas
Horniman Museum,2009/10,12426,Overseas
Imperial War Museums,2009/10,729851,Overseas
Museum of Science and Industry in Manchester,2009/10,56899,Overseas
National Gallery,2009/10,1582600,Overseas
National Museums Liverpool,2009/10,302390,Overseas
National Portrait Gallery,2009/10,712230,Overseas
Natural History Museum,2009/10,1494923,Overseas
Royal Armouries,2009/10,119121,Overseas
Royal Museums Greenwich,2009/10,127187535,Overseas
Science Museum Group,2009/10,945822,Overseas
Sir John Soane's Museum,2009/10,22740,Overseas
Tate Gallery Group,2009/10,3224000,Overseas
Tyne and Wear Museums,2009/10,42580,Overseas
Victoria and Albert Museum,2009/10,1190000,Overseas
Wallace Collection,2009/10,168420,Overseas
Total,2009/10,15430000,Overseas
British Museum,2010/11,3644788,Overseas
Museum of the Home,2010/11,11508,Overseas
Horniman Museum,2010/11,17549,Overseas
Imperial War Museums,2010/11,78353293,Overseas
Museum of Science and Industry in Manchester,2010/11,63835,Overseas
National Gallery,2010/11,2542462,Overseas
National Museums Liverpool,2010/11,342679,Overseas
National Portrait Gallery,2010/11,612112,Overseas
Natural History Museum,2010/11,2285053,Overseas
Royal Armouries,2010/11,117588,Overseas
Royal Museums Greenwich,2010/11,1487640,Overseas
Science Museum Group,2010/11,810733,Overseas
Sir John Soane's Museum,2010/11,34505,Overseas
Tate Gallery Group,2010/11,3587000,Overseas
